823,1263,307,271,171,159,411,215,65,517,111,171,295,111,301,807,463,25,97,183,37,35,75,41,21,27,25,23,25,25,21,25,27,25,35,23,21,27,21,23,27,23,25,23,27,27,21,21,21,21,21,21,27,25,21,21,21,25,23,23,23,21,21,25,23,23,25,21,25,31,21,23,21,21,25,23,27,23,23,27,27,23,29,37,31,21,27,29,23,21,21,27,23,23,23,25,25,25,21,21,25,21,29,23,21,23,25,23,21,23,25,21,25,23,23,23,25,23,29,23,23,23,21,27,25,27,23,23,27,23,21,21,21,25,25,21,21,21,25,23,23,23,25,33,21,25,25,21,21,23,25,23,27,25,23,25,21,23,25,25,21,27,23,21,23,23,21,29,23,25,21,25,23,21,27,23,23,21,21,21,25,21,23,21,25,21,21,23,23,23,21,21,21,23,29,21,21,21,25,21,21,21,21,23,25,23,23,27,21,23,21,21,25,27,23,25,23,25,25,27,21,25,23,23,23,21,23,25,31,27,21,21,21,21,21,23,23,23,23,21,21,27,23,23,23,27,29,25,23,25
537,1048,1726,413,351,545,257,415,279,265,213,337,111,153,55,523,333,91,67,85,297,87,135,135,53,105,29,25,23,27,23,21,21,21,21,23,25,27,23,21,27,21,21,23,23,21,21,23,21,23,25,25,25,21,21,27,21,27,21,21,25,23,27,29,23,23,23,21,25,29,25,23,21,21,25,23,25,23,23,27,21,23,25,25,25,23,21,23,23,21,29,25,21,21,21,25,21,23,23,21,23,21,23,25,23,23,21,21,25,21,21,21,23,25,23,21,23,23,25,27,25,21,27,23,25,27,23,27,23,27,23,23,23,21,23,27,31,23,21,21,21,21,21,29,21,21,25,21,21,23,23,21,21,23,25,23,23,21,25,21,23,21,21,21,23,23,25,27,27,25,23,27,21,23,25,23,23,21,23,21,21,23,25,25,21,27,27,25,21,25,21,27,21,25,27,23,29,25,21,21,25,21,23,21,23,21,21,21,27,23,23,21,21,27,29,23,25,21,21,23,23,27,23,21,25,21,23,27,23,21,25,21,23,27,25,21,25,23,21,29,21,23,25,23,21,23,25,21,23,25
1177,1281,291,1693,281,541,121,509,239,141,217,215,227,241,349,157,83,65,57,33,29,37,25,21,21,23,31,21,21,23,21,23,23,21,25,23,27,21,23,29,21,27,25,25,21,23,21,21,27,21,21,23,21,23,21,23,21,23,21,25,39,23,27,23,25,23,25,23,25,25,25,23,25,23,21,25,25,29,23,25,23,25,21,21,23,23,21,25,21,23,23,25,25,23,25,25,27,21,25,21,21,31,23,23,23,21,23,27,25,25,23,21,27,23,27,23,27,27,21,21,27,23,23,23,21,23,21,23,23,21,23,25,25,25,21,23,21,21,21,23,23,21,21,23,21,21,23,29,31,21,23,25,27,25,23,25,23,21,23,21,21,21,21,25,21,25,23,29,23,21,21,23,25,29,27,23,25,23,21,29,21,23,29,23,21,21,21,21,27,23,21,27,27,21,23,21,31,23,23,23,23,21,21,21,27,21,29,25,25,25,21,25,25,21,27,23,25,23,21,23,23,29,23,21,29,23,23,25,21,27,23,23,31,27,21,21,25,21,23,23,27,27,29,23,21,29,25,21,23,21
432,957,1170,625,345,643,833,238,43,108,179,267,503,157,127,563,293,79,39,107,291,37,35,125,65,23,23,23,23,23,23,25,21,25,23,23,21,23,21,23,25,25,27,23,25,23,21,23,25,23,23,21,25,25,21,23,21,25,23,21,21,25,25,25,27,23,25,21,21,37,23,21,25,21,26,25,25,27,25,23,23,21,25,23,25,23,21,23,23,23,23,23,23,23,25,25,23,23,23,21,25,23,25,25,21,25,25,21,21,23,27,25,29,23,27,21,25,21,21,21,21,25,21,23,23,23,25,21,21,23,27,21,21,21,23,21,21,21,23,21,23,27,23,23,25,25,25,23,27,25,23,23,23,21,23,25,21,25,23,25,21,25,25,21,23,23,25,27,23,23,23,23,23,21,27,21,25,23,23,21,23,25,23,27,29,23,25,27,25,23,21,21,23,21,21,25,21,29,25,21,27,23,21,21,25,25,23,27,23,21,23,23,25,23,25,27,23,21,23,21,23,29,23,21,21,31,25,21,27,25,21,25,25,21,23,23,21,23,23,23,21,23,27,21,25,25,23,23,21,21
730,850,1043,117,825,585,479,169,455,601,215,247,225,347,83,143,295,51,63,89,121,65,39,71,27,43,23,29,23,23,21,27,25,23,25,29,27,21,23,21,21,21,21,25,25,21,33,27,23,25,23,21,23,25,25,21,21,31,21,23,25,21,27,21,23,21,21,21,21,23,23,23,21,23,23,21,21,23,25,43,23,29,23,25,23,25,23,23,21,21,21,23,21,25,21,25,23,21,21,21,21,27,23,21,25,21,29,21,27,21,21,21,25,21,23,21,21,21,25,21,21,21,25,23,21,21,23,25,21,21,23,25,21,25,21,25,23,21,23,21,21,25,25,23,23,21,23,21,23,21,21,25,23,25,21,27,27,23,23,21,23,25,21,21,23,27,27,27,23,23,23,25,25,21,23,27,29,21,27,27,25,23,21,27,23,21,21,25,21,25,23,23,21,21,29,25,23,25,23,23,23,23,21,21,27,23,23,21,21,21,21,21,31,29,25,21,23,23,25,21,23,27,29,23,21,21,21,23,21,23,23,21,23,29,21,23,25,23,21,29,23,23,23,21,21,23,27,23,25,23
813,2779,457,885,351,527,887,89,93,125,281,133,79,91,75,99,35,23,25,27,25,27,25,23,21,21,27,21,23,23,35,29,25,23,21,21,21,25,23,23,25,21,23,23,39,23,27,21,23,25,25,21,27,23,21,23,21,25,27,25,21,25,25,21,27,21,29,27,21,21,29,23,23,29,25,27,27,23,25,25,27,23,27,23,27,21,23,23,25,21,49,27,25,23,21,21,25,27,25,23,21,21,21,25,41,23,23,21,21,21,21,27,23,23,23,25,21,21,27,25,35,21,23,23,23,23,25,25,27,21,25,29,23,27,21,25,23,31,25,21,25,25,23,25,21,21,21,23,27,21,21,25,23,31,25,21,23,23,23,23,23,23,27,21,21,25,23,23,21,21,25,25,25,21,21,25,21,23,23,25,23,21,23,23,23,25,23,23,21,23,25,23,23,21,21,23,21,21,23,21,23,21,25,21,27,23,27,23,21,27,23,23,23,23,21,23,25,25,25,25,27,25,27,25,27,29,23,21,25,21,29,25,27,23,25,25,21,25,25,27,25,23,23,21,23,23,25,25,27,23
1423,1794,996,549,315,1081,407,87,521,119,749,455,81,189,131,245,35,51,57,77,39,31,27,23,27,21,23,23,21,29,27,21,23,23,55,31,23,23,25,23,21,29,25,21,21,21,23,23,23,21,23,25,23,23,27,21,23,23,23,33,21,33,23,23,29,23,29,21,23,21,23,21,21,21,21,21,21,61,21,23,29,23,23,25,27,21,23,23,23,23,25,27,25,21,21,27,21,25,23,23,23,23,24,27,23,21,23,21,23,21,31,25,21,25,23,21,21,21,23,25,21,25,21,21,21,23,25,23,21,23,25,23,27,23,23,21,21,23,21,21,27,25,23,21,27,23,27,31,21,25,23,25,23,21,27,25,23,21,25,21,23,23,23,21,21,21,25,25,23,23,23,23,23,25,21,25,27,27,23,27,23,25,21,21,23,25,23,21,23,27,23,23,25,27,29,25,21,21,21,21,21,23,23,21,23,27,23,23,27,25,27,25,23,23,23,27,23,23,23,27,27,29,21,23,25,25,21,23,23,23,23,23,23,21,23,23,21,27,23,21,21,23,23,25,23,25,23,25,21,21
1856,448,195,405,413,2443,565,469,127,325,509,157,233,231,237,451,79,109,73,163,87,73,33,29,23,25,21,23,23,23,21,25,25,25,21,23,29,21,23,21,23,23,21,23,23,21,23,27,25,31,21,23,27,25,25,21,25,23,21,23,23,27,27,25,25,25,21,23,21,27,23,21,25,21,83,23,21,23,23,23,23,21,21,23,21,25,25,47,23,23,21,21,23,23,27,23,23,29,31,25,23,21,23,29,21,23,23,23,25,21,21,21,23,23,25,23,21,29,23,21,25,21,23,25,23,23,23,23,23,25,21,27,23,25,21,23,21,21,21,23,21,23,23,23,21,25,21,29,23,25,23,21,21,23,25,25,23,21,23,23,23,21,23,25,21,25,25,25,21,23,25,23,27,23,21,35,23,23,21,23,21,21,25,21,23,21,23,27,25,21,23,23,29,21,21,21,21,25,23,25,25,23,23,23,27,25,25,25,23,27,23,21,23,23,23,27,25,23,21,25,23,27,23,23,21,27,23,27,27,21,21,29,21,27,23,21,21,23,23,21,21,23,23,23,25,25,25,21,21,25
452,799,1137,472,246,1301,885,459,395,705,67,527,239,357,119,87,365,115,97,65,99,75,63,41,27,25,21,23,21,23,21,23,21,25,23,23,23,29,23,23,23,25,47,21,21,23,29,25,25,23,23,21,29,23,23,23,25,21,23,21,25,21,21,23,23,27,21,55,23,21,23,23,25,21,25,21,27,23,29,21,21,21,25,29,25,25,23,21,23,23,25,23,23,21,23,25,27,23,21,21,23,21,21,23,23,23,25,21,25,25,23,27,23,23,27,23,27,23,25,23,21,31,27,23,21,29,21,23,27,23,25,25,25,29,21,23,25,23,23,23,21,21,23,21,23,21,25,21,21,29,23,21,23,27,29,21,23,31,27,21,25,23,25,25,23,21,21,21,25,23,25,23,23,25,23,25,21,23,21,21,27,25,21,23,21,27,21,25,25,25,25,29,29,21,21,23,21,21,23,21,23,23,23,21,27,23,31,21,29,23,21,25,21,21,21,21,27,27,21,25,21,21,21,23,25,25,21,21,31,23,21,21,21,21,23,21,21,23,25,27,29,21,21,23,23,23,21,29,25,23
184,781,613,95,175,255,899,575,377,393,159,159,201,81,101,165,213,119,175,115,21,51,37,25,23,21,25,23,23,23,21,21,73,25,39,21,21,37,35,25,25,21,23,37,23,21,21,21,21,23,25,23,21,21,23,21,23,21,29,21,21,21,23,21,23,21,25,27,27,25,27,21,23,27,23,23,21,25,23,27,23,21,23,31,25,23,23,21,23,21,21,27,25,23,21,21,21,25,21,25,21,21,23,23,23,23,21,25,25,21,21,25,23,23,21,25,23,29,23,23,21,25,21,21,23,25,27,21,31,23,23,21,21,25,23,25,21,27,21,21,23,23,35,23,21,23,25,23,21,23,29,23,21,21,23,23,31,23,23,25,25,21,25,21,23,25,25,25,25,23,21,23,21,21,27,29,23,21,25,23,29,23,21,23,23,23,21,27,23,21,23,23,21,21,29,23,25,21,27,35,21,23,23,27,25,21,23,29,21,23,25,27,23,31,23,25,25,23,21,25,27,21,29,25,21,23,33,27,25,21,25,23,25,25,25,23,21,25,25,21,25,25,23,27,23,25,23,21,25,23
